formula,n_atoms,status,final_energy,relaxed_spg,ehull
Ag8GeS6,92,skipped_large,,,
Al2O3,30,success,-7.472523498535156,167.0,
BN,8,success,-8.70905590057373,216.0,
Ba(FeAs)2,10,success,-6.166869735717773,139.0,
Bi2Te3,15,success,-3.664017740885417,166.0,
C,8,success,-9.087129592895508,227.0,
CaCO3,30,success,-7.483135986328125,167.0,
CoSb3,32,success,-5.056452751159668,204.0,
CsPbI3,5,success,-2.8361412048339845,221.0,
Cu12Sb4S13,54,success,-4.294439810293692,8.0,
Fe3O4,56,success,29.698107038225448,227.0,
GaAs,8,success,-4.173295974731445,216.0,
GeH4,5,success,20.5871337890625,1.0,
La2CuO4,14,success,-7.39959226335798,139.0,
Li3PS4,32,success,-4.371265888214111,7.0,
LiBF4,11,success,-5.301785902543501,1.0,
LiCoO2,12,success,-5.620693206787109,166.0,
LiFePO4,28,success,-6.828434535435268,62.0,
LiPF6,24,success,-4.952137311299642,1.0,
Mn(FeO2)2,72,success,-5.925167507595486,1.0,
NaCaAlPHO5F2,24,success,-6.241029739379883,2.0,
Nd2Fe14B,68,success,-7.976012286017923,6.0,
Si,8,success,-5.412850379943848,227.0,
Si3N4,20,success,-6.786922454833984,1.0,
SiO2,9,success,-7.50392829047309,164.0,
SrTiO3,5,success,-8.018239593505859,221.0,
TiO2,6,success,-8.92946751912435,136.0,
V2O5,24,success,-6.934976577758789,1.0,
VO2,6,success,-7.727156321207683,136.0,
Y2Co17,57,success,-5.7423454418516995,1.0,
Y3Al5O12,112,skipped_large,,,
ZnO,4,success,-4.540669918060303,186.0,
ZnSb,16,success,-2.621408462524414,1.0,
ZrO2,12,success,-9.491218566894531,14.0,
ZrTe5,20,success,-4.630255889892578,1.0,
